date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:53	384507/384507	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-5ddfb%22	https://demo.zytheme.com/lalan/assets/images/page-titles/1.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/page-titles/1.jpg	(from https://demo.zytheme.com/lalan/agents.html)
11:52:53	159110/159110	---M--	200	added ('OK')	image/png	etag:%225db6b384-26d86%22	https://demo.zytheme.com/lalan/assets/images/agents/grid/5.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agents/grid/5.png	(from https://demo.zytheme.com/lalan/agents.html)
11:52:53	143236/143236	---M--	200	added ('OK')	image/png	etag:%225db6b384-22f84%22	https://demo.zytheme.com/lalan/assets/images/agents/grid/6.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agents/grid/6.png	(from https://demo.zytheme.com/lalan/agents.html)
11:52:53	60105/60105	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-eac9%22	https://demo.zytheme.com/lalan/assets/images/agents/single/1.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agents/single/1.jpg	(from https://demo.zytheme.com/lalan/agent-profile.html)
11:52:53	6917/6917	---M--	200	added ('OK')	image/png	etag:%225db6b384-1b05%22	https://demo.zytheme.com/lalan/assets/images/agency/1.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agency/1.png	(from https://demo.zytheme.com/lalan/agency-list.html)
11:52:54	380987/380987	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-5d03b%22	https://demo.zytheme.com/lalan/assets/images/properties/1.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/properties/1.jpg	(from https://demo.zytheme.com/lalan/agent-profile.html)
11:52:54	7237/7237	---M--	200	added ('OK')	image/png	etag:%225db6b384-1c45%22	https://demo.zytheme.com/lalan/assets/images/agency/2.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agency/2.png	(from https://demo.zytheme.com/lalan/agency-list.html)
11:52:54	7619/7619	---M--	200	added ('OK')	image/png	etag:%225db6b384-1dc3%22	https://demo.zytheme.com/lalan/assets/images/agency/3.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agency/3.png	(from https://demo.zytheme.com/lalan/agency-list.html)
11:52:54	6377/6377	---M--	200	added ('OK')	image/png	etag:%225db6b384-18e9%22	https://demo.zytheme.com/lalan/assets/images/agency/4.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agency/4.png	(from https://demo.zytheme.com/lalan/agency-list.html)
11:52:54	23428/23428	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-5b84%22	https://demo.zytheme.com/lalan/assets/images/agency/2.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agency/2.jpg	(from https://demo.zytheme.com/lalan/agency-profile.html)
11:52:55	96534/96534	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-17916%22	https://demo.zytheme.com/lalan/assets/images/blog/grid/1.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/blog/grid/1.jpg	(from https://demo.zytheme.com/lalan/blog.html)
11:52:56	83616/83616	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-146a0%22	https://demo.zytheme.com/lalan/assets/images/blog/grid/2.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/blog/grid/2.jpg	(from https://demo.zytheme.com/lalan/blog.html)
11:52:57	57597/57597	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-e0fd%22	https://demo.zytheme.com/lalan/assets/images/blog/grid/3.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/blog/grid/3.jpg	(from https://demo.zytheme.com/lalan/blog.html)
11:52:57	69149/69149	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-10e1d%22	https://demo.zytheme.com/lalan/assets/images/blog/grid/4.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/blog/grid/4.jpg	(from https://demo.zytheme.com/lalan/blog.html)
11:52:58	105075/105075	---M--	200	added ('OK')	image/jpeg	etag:%225db6b384-19a73%22	https://demo.zytheme.com/lalan/assets/images/blog/grid/5.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/blog/grid/5.jpg	(from https://demo.zytheme.com/lalan/blog.html)
